"","observed","location_details","county","state","season","title","latitude","longitude","date","number","classification","geohash","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed","word_count_of_observed"
"864","Bigfoot in Farmdale park E. Peoria Illinois. I was about 13 years old. I'm 72 now. Snow on the ground I was carrying a gun in the woods hunting for birds, rabbits anything just killing time. I came over a hill at the creek and saw a black hairy figure about 8 feet tall walking around a round hut built with sticks and branches in the middle of a blackberry patch. I had never heard of Bigfoot at that time but I'm sure it was him now. He didn't see me at first, I watched him picking berries terrified wondering what should I do. Then he saw me, looked straight at me and just disappeared! I was gone 3 or 4 hours and don't know why. I don't remember leaving or walking home. All of a sudden I was walking up to my door at home. Mother was mad because I was gone so long. I told her why and she just shrugged it off as if oh yeah sure you did !","Presently location is in Farmdale Park, but when I was a kid it was private rural land.","Tazewell County","Illinois","Winter","Report 55706: Memory told of daytime encounter near Farmdale Park",40.67855,-89.49032,"10/3/2016",55706,"Class A","dp0r7t71sr",69.6,61.8,53.8,56.1,83.1,77.3,0.09,0,0,NA,1018.4,"Partly cloudy throughout the day.","Partially cloudy",NA,9.8,68.3,8.2,173
"865","I was sitting in my deer stand at 10 in the morning. I heard something going through the brush and observed a solid black 8 foot tall animal walking across a small clearing. It walked 30 to 40 feet to get through the clearing and it was 40 yards from my deer stand. It was muscular with broad shoulders. As I was in my deer stand and did not make any sounds I don't believe it knew I was there and it never looked in my direction.",NA,"Union County","Illinois","Fall","Report 59073: Bow hunter has another daylight sighting from his stand near Alto Pass",37.56937,-89.36241,"11/12/2013",59073,"Class A","dn8mwx232y",40.6,33,23.9,22.4,65.9,41.3,0.33,0.008,100,"['rain']",1037.7,"Partly cloudy throughout the day with early morning rain.","Rain, Partially cloudy",NA,9.9,355.9,18.6,87
"866","My pitbull was barking in terror. I went out to check on him and shone my light just on the other side of the fence I put up around the orchard and he was standing there clear as day staring at the dog and me . Twenty yards away. Flat face. Reddish brown fur. Eyes looked orange in the light.  He disappeared into the woods. I've seen him many times. I live surrounded by the national forest.","Shawnee National Forest. Behind my house","Union County","Illinois","Fall","Report 50341: Home owner gets a good look at his frequent visitor one night near Jonesboro",37.4351,-89.30203,"11/21/2015",50341,"Class A","dn8kzyu5rb",45.8,39.7,29.5,30.8,71.2,73.2,0.35,0.12,100,"['rain']",1019,"Partly cloudy throughout the day with rain in the morning and afternoon.","Rain, Partially cloudy",NA,9.7,312.3,23.6,77
"867","It was in 2004. I told my husband at the time I saw sasquach (not sure if I am spelling it right). He laughed and said I was nuts, so I really never brought it up again until.... 2 days ago I saw on the news reported sighting of a bigfoot in Central IL. I did not come face to face with him thank God. I caught him running. I could see his backside big tall and hairy, very hairy.  I was at my home on the Fulton - McDonough County line.  We lived near Vermont Lake easy walking distance down a gravel road right off Elk Road. I was outside doing my chores feeding the horses. We lived near forests all around all sides (Vermont Lake as our backyard).  We lived atop a small hill slope with a gully running all around. I saw him come out of the woods to the west and run very fast through our pasture and back into the woods. I saw him jump the creek which seemed to me impossible, too far, but he did and ran up the hill back north and he was gone.  I have never seen him again.","Pastures and a lake to the south. Pastures and fields to the north. A road, field and a forest to the east. A forest to the west.","McDonough County","Illinois","Fall","Report 15007: Daylight sighting by resident near Vermont Lake",40.316,-90.459,"9/11/2004",15007,"Class A","9zptme3c8x",81.4,68.5,55.9,58.2,71.9,0,0.91,0,0,NA,1020.5,"Clear conditions throughout the day.","Clear",NA,9.8,199.2,5.8,199
"868","When I was probably ten years old was the very first time I ever seen it. I saw the back motion light come on, I ran back to the back bedroom and peeked through the blinds. It was digging in the trash cans, burn barrel and eating and taking the trash bags and throwing them on the ground and digging around again. I then ran back to my own bedroom. I never told anyone until about two years ago.",NA,"Massac County","Illinois","Summer",NA,NA,NA,NA,39569,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
"869","My mother and I had a possible sighting back in about 1974. We used to watch for my step dad to come back from deer hunting. Depending on the moon light, we could see him coming down from the woods. One night my mom said that he was coming. We went outside and we both thought we seen him walking to the house. Mom walked out to meet him. I stayed on the back porch and watched. It was probably 9pm or so. What ever it was just stopped and stood there. Then it went back into the woods fast. Mom ran back inside the house with me by the wrist. She locked the doors and loaded a shotgun. My step dad eventually got home. Whatever that was walked on 2 legs. It was not my step dad. We live just outside Sparland, Illinois.","Family still lives on farm near Sparland","Marshall County","Illinois","Fall","Report 55386: Witness recalls possible nighttime sighting near Sparland",41.02524,-89.45454,"8/16/2016",55386,"Class B","dp23kkmjq5",84.2,75.4,68.3,67,77.7,44.4,0.45,0.006,100,"['rain']",1017.2,"Clearing in the afternoon with early morning rain.","Rain, Partially cloudy",NA,8.8,313.1,7,144
"870","I seen something tall and black, about 7 feet tall,  run real fast across 12th Street in Lawrenceville about 3 weeks ago.","What ever it was it came from the left to right by some grain bins across 12th Street. It took just seconds to run across the road going west.  We are rural here at my location.","Lawrence County","Illinois","Winter","Report 31858: Motorists have nighttime sighting on outskirts of Lawrenceville",38.71682,-87.68468,"12/19/2011",31858,"Class A","dncsk8jvyf",49.9,46.4,40.1,38.8,75.8,99.7,0.82,0.297,100,"['rain']",1019.3,"Cloudy skies throughout the day with rain.","Rain, Overcast",NA,7.7,207.7,16.6,22
"871","My wife and I went Franklin Creek area for hiking and we found a bigfoot track by the creek. Its about 2 miles from parking lot. We have to walk about 2 hours back to parking lot before dark and heavy rain on that night. Creek flooded and the footprint gone.","Creek, lot of forest and hills. lot of kind of mushrooms, berries and plants.","Lee County","Illinois","Summer","Report 11121: Hikers find large footprint along Franklin Creek.",41.86395,-89.34285,"6/14/2003",11121,"Class B","dp2qnvne0t",82.4,70.1,57.5,58.6,69.1,45.7,0.5,0,0,NA,1015.1,"Partly cloudy throughout the day.","Partially cloudy",NA,8.2,56.2,11.1,51
"872","Me and my mom were driving home from dropping a friend off when about a 7 1/2-foot-tall creature ran across the road. It had brownish-red fur, its arms were longer than a human's could ever be. The whole thing lasted about 5 seconds.","A little gravel road by Spitler Woods State Park.","Macon County","Illinois","Fall","Report 23104: Motorist and son observe road crossing near Spitler Woods State Park",39.781,-88.867,"10/5/2006",23104,"Class A","dp0f3ccj0g",66.8,58.4,47.1,47.4,68,64.6,0.45,0,0,NA,1024.6,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,31.1,20.6,43
"873","I was on my front porch smoking. I heard some rustling off in the distance and didn't think nothing about it, there is a lot off deer over in my area. Then I seen it stand up and run across the street to the wooded area. Both 30 yards from my house. It was dark outside so it was a dark massive upright figure standing 8-9 ft. Arms were about middle of its thigh. Couldn't see the facial features but before it crossed the street it looked both ways. The eyes had a little glare to them maybe a small eye shine. Also smelled like a musty odor for a bit later on in the night. I was sitting in the house and heard a deep scream howl kinda noise and it went on and off the rest of the .","dont put the street name on the site please","Macon County","Illinois","Fall",NA,NA,NA,NA,37988,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
"874","In September 1992 my girlfriend spent the night at my house. Around 11:30pm we were bored and so my girlfriend and my two sisters and I decided to sneak out of the house and take a walk around the lake. There were other houses around this lake also.  The skies were clear and the weather was nice.  We got about half way around the lake when I heard something behind me and turned around to see. I was startled to see a big tall hairy thing about 13 feet tall. I saw it walk across the road about 5 feet behind us. I screamed, and my sister who was 13 years old at the time turned and saw it also. My baby sister was too little and can't remember. I don't remember if my girl friend saw it. We took off running and screaming back to our house. We went into my bedroom and were awake the rest of the night afraid to make a move thinking it was still out there. I was 15 years old at the time.","SPECIFIC LOCATION SENSITIVE","Macoupin County","Illinois","Fall",NA,NA,NA,NA,24673,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
"875","It was the November deer season in Illinois 1993 I think. I was hunting some ground north of Hettick, Illinois . About sunrise I heard twigs snapping behind  me to my right , I was in a tree-stand overlooking a field, anticipating a deer but no deer came out but something yelled/screamed very loud that sent chills through me . What seemed like minutes probably only 30 seconds what came out of the timber that was walking upright and dark brown all over and somewhere between 6 1/2 to 7 feet tall at the edge of one timber crossing to another , probably a distance of about 20 yards between the two timbers , this thing whatever it was did not seem concerned that I was there. I have been raised in Illinois all my life hunting and out in the woods a lot and I have never seen or heard anything like this nor do I care to ever again .","About a mile or so north of town to the west of Boyscout Road probably 1/2 mile.","Macoupin County","Illinois","Fall","Report 37697: Memory told of a sighting at dawn while deer hunting north of Hettick.",39.37753,-90.04582,"11/20/1993",37697,"Class A","9zpbnbqwsr",49.8,39,28.4,24,56.4,15.8,0.25,0,0,NA,1020.4,"Clear conditions throughout the day.","Clear",NA,16.9,243.4,16.3,162
"876","I recently moved out of my house in Girard, IL. During the last year or so I have experienced several strange occurrences. I have never actually seen anything except once  a large dark shape moving bipedally through the heavy fog.  I have heard the sound of something drumming on tree trunks. The sound of something BIG walking in the woods, on 2 legs.  I have found chunks of firewood thrown from my wood pile.  And on November 25 of 2008, as I was packing to move I heard a moaning howl very close to the house. I have hunted for 20 years and I have NEVER heard the likes of this. I stopped loading the vehicle, loaded my .45 and locked the door.  I did the rest of my packing the next two nights armed but as before I had the distinct feeling I was being watched and several times large branches were broken, and there was knocking on trees. Also there is an area of the woods where the grass and foliage is crushed down. This could be deer, but since these things have started occurring, the deer , who are usually thick as fleas have been gone.",NA,"Macoupin County","Illinois","Fall","Report 25273: Possible sighting, wood knocks and vocalizations west of Girard",39.26776,-89.48787,"11/8/2008",25273,"Class A","dnbr7skzm3",41.5,38.3,35.1,31.2,75.6,93.5,0.35,0,0,NA,1009.8,"Cloudy skies throughout the day.","Overcast",NA,9.9,274.1,17.3,199
"877","I have had two incidents in the last few months. The first happened one morning when I woke up early and had to use the rest room. On the way back to bed, I looked out the back door to see the sunrise, and check if the dog was in the back yard. I watched a large, dark person or thing cross the field from one treeline to another. The second happened on the night of the meteor shower just a few weeks ago. I walked outside to look up and watch the shower. I stood there for several minutes before I looked down, directly on the other side of the fence was a large form. After I screamed my head off, it bolted to the tree line.","We live along route 108 a few miles out of town. We have a small field, and a small ""prairie"" behind our house which is enclosed with trees.","Macoupin County","Illinois","Fall",NA,NA,NA,NA,38524,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"878","It was around the year 1989.  I was working at McDonald's in Carlinville, Il and I had closed that night.  I was headed home at around 1:00 a.m. or 2:00 a.m.  I was headed west on IL Hwy 108.  I was going thru an area on the highway known to locals as Hagaman Bottoms.  Just as I was about to approach the bridge at the Bottom of Bell Hill I saw a large creature standing next to the road.  Just as I got near it or just about even with the creature it reached out at my car.  It scared me and I accelerated my car to get away from it.  It was a very bright moonlit night and I could tell that it was dark brown or black in color.  It was also tall as it stood above the top of my car.  The car I owned at the time was a Chevy Celebrity Eurosport.  I remember it standing facing east and when I was passing it it turned south and reached out with its right hand.  This was a very scarey experience for a young girl in a car going home all by herself.","Leaving Carlinville, IL headed west on IL Hwy 108.  There is a little town named Hagaman.  Go past the Hagaman turn off and you will come to a long bridge just below a big hill called Bell Hill.  The creature stood on the north side of the highway right before you get to the bridge. This is in Macoupin County.","Macoupin County","Illinois","Summer","Report 43348: Memory told of sighting at night along SR 108 near Hagaman",39.30525,-90.0933,"5/14/2014",43348,"Class A","9yzztgk19v",52.3,49.9,46.2,45.3,84.5,56.2,0.5,0.259,100,"['rain']",1020.2,"Partly cloudy throughout the day with rain.","Rain, Partially cloudy",NA,8.9,344.4,14.9,196
"879","On 12/16/13 I was driving down Hettick Road in Hettick Illinois around 6:20 pm. I was coming up a hill and a shadow along side of the road caught my eye. This dark colored, large hairy animal on all 4 legs that resembled a bear. It kicked its back leg, turned to where it was looking at me and just stood there in the field on the passenger side of my car. It stood there and looked at me and was approximately 5 feet in height on all four feet. I went to my sister's house approximately 1/4 mile up the road and got her camera and we went back and took pictures of the footprints in the snow. About a week ago my mom and sister were talking about a loud hollering noise they heard in the timber behind their house.",NA,"Macoupin County","Illinois","Winter","Report 43319: Possible sighting by a motorist near Hettick",39.34657,-90.1173,"5/14/2014",43319,"Class B","9yzzv6fd6s",52.8,49.9,46.3,44.5,82,49.7,0.5,0.269,100,"['rain']",1020.2,"Becoming cloudy in the afternoon with rain.","Rain, Partially cloudy",NA,9.2,345.4,14,142
"880","On December 27th, 2014, I was traveling home at approximately 11:45pm. I was near a wildlife area when I observed a large figure standing next to the treeline approximately 15-20 feet from the road. This figure was very large, broad shoulders and standing on two legs. I believe that I observed the backside of this figure as it was walking into the treeline since I could not see eyes in my headlights. I quickly stopped my vehicle to look at what I just saw but at that point my headlights were past the figure and I couldn't see anything. The location of this sighting was about a quarter mile north of the Creek bottoms. I quickly left the area to continue my trip home since I was alone.","I was traveling southbound on County Hwy 6 between the Chesterfield Rd and the town of Plainview at approximately 11:45pm. In the area of Beaver Dam State Park and it was approximately one quarter mile north of the Macoupin Creek Bottoms","Macoupin County","Illinois","Winter","Report 47412: Motorist has possible night time sighting near Plainview",39.2038,-89.9758,"12/27/2014",47412,"Class B","dnbp08cdey",46.8,40.7,32.5,37.9,89.9,99.6,0.2,0.138,100,"['rain', 'snow']",1020.4,"Cloudy skies throughout the day with a chance of rain or snow throughout the day.","Snow, Rain, Overcast",NA,7.3,252.4,13.7,128
"881","This is the second time that I have seen Bigfoot in my lifetime.  Both sightings have been in the same vicinity.  Here is my story of tonight's sighting.  I was going home from work from Carlinville and was driving west of Illinois Route 108.  As I approached a hill that was just east of the Hagaman turnoff I noticed a tall reddish brown creature crossing the highway going north.  It was at least 7-8 feet tall and was in the standing position.  As I approached the area that I saw it cross I looked in that direction and it was no where in sight.  I want to add that there have been many sightings in this area.  It is in Macoupin County, Illinois and both of my sightings were in an area known as ""Hagaman Bottoms"".  There is a creek there and it is a wooded area.  The sighting occurred at around 5:15 p.m. and it was still daylight but it was getting dark at this time due to daylight savings time ending this past weekend.","From Carlinville head west on Illinois Route 108.  Just east of Hagaman turnoff is where I sighted it.","Macoupin County","Illinois","Fall","Report 46917: Motorist has possible nighttime sighting near Hagaman Bottoms.",39.3047,-90.0775,"1/22/2015",46917,"Class B","9yzzw5pw6p",35.8,31.9,28.1,27.5,83.8,77.7,0.08,0,0,NA,1030.2,"Partly cloudy throughout the day.","Partially cloudy",NA,8.2,314.1,8.1,176
"882","I was almost home and I live on West Lake Drive then all the sudden I just see this two legged being about 7 to 8 ft tall just bolts in front of me into the woods just across from my house. It was covered in matted burgundy hair.",NA,"Macoupin County","Illinois","Fall","Report 55934: Nighttime sighting near Sunset Lake west of Girard",39.4383,-89.86021,"1/20/2017",55934,"Class A","dp0075tb9r",51.4,47,42.6,46.1,96.7,85.4,0.77,0.106,100,"['rain']",1003.1,"Partly cloudy throughout the day with rain clearing later.","Rain, Partially cloudy",NA,4.3,150.7,11.3,49
"883","I live in Granite City. Just across the river from St. Louis Missouri. Where we lived we used to see bigfoot on a regular basis. Had encountered many sitings from them standing at our picture window of the house to being in the barn with our horses have not seen any in a long time due to expansion in the area and habitat destruction. Have found scat and they are omnivores from the shape it looks human not vegetarian. May be a good area to search some time in the future in area locations, still a lot of wooded areas locally.","1214 Old Rock Road, Granite City, Illinois","Madison County","Illinois","Summer","Report 32196: Memory told of family encounters near Granite City.",38.74784,-90.14547,"9/4/1972",32196,"Class B","9yzukty4d2",71.1,63.4,55.7,55.5,77.2,55.5,0.89,0,0,NA,1019.7,"Partly cloudy throughout the day.","Partially cloudy",NA,11.2,40.4,7.5,101
"884","The first incident occured on Monday night, 4 June 1973; the other two happened between 4 June and 8 June 1973. In three separate incidents, three residents reported seeing and being chased by a musty-odored, red-eyed, human-sized creature or monster.  The creature was described as 5 feet 8 inches tall, broad shouldered, with red eyes that cannot stand light.  It makes no sound even when it walks. One male described to police an incident in which it ripped his shirt and scratched his chest. Reports described the creature as ""lurking in the woods.""","Madison County, Illinois.  Woods at the eastern edge of Edwardsville, Illinois.","Madison County","Illinois","Summer","Report 3472: Series of three incidents describing a human sized creature near edge of Edwardsville.",38.809,-89.918,"6/6/1973",3472,"Class C","dnbhcbgwy9",79.1,69.7,59.6,57.5,68.7,22.6,0.19,0,0,NA,1016.9,"Partly cloudy throughout the day.","Partially cloudy",NA,9.2,281.6,8.9,93
"885","My wife actually saw a bigfoot one evening getting close to dark. We were sitting in the car talking while we were dating. And she saw one standing behind the car. We were talking and she all of a sudden shut up, turned white as a ghost, and turned back around. I asked her what was wrong and she said ""I saw one standing behind the car"". As soon as she looked at it, it started moving back away. By the time we both looked back around it was gone. I've seen total evidence, my mother has seen them, and my wife has seen them.","1214 Old Rock Road, Granite City, Illinois","Madison County","Illinois","Fall","Report 39852: Memory told of a possible sighting while parked in a car near Granite City",38.74784,-90.14547,"9/26/1977",39852,"Class B","9yzukty4d2",81.4,70.1,57.8,57.3,68.4,6.3,0.48,0,0,NA,1009.7,"Clear conditions throughout the day.","Clear",NA,8.3,214.3,10.6,105
"886","I lived on Old Rick Rd. in Granite City Il. from 1970-82. One evening we were having a family get together and we seen a bigfoot. My brother and several cousins all seen it. It was standing at the railroad tracks in our back yard.  It was HUGE! It was dark and tall. Please feel free to talk to any of us. We do every time we all get together.",NA,"Madison County","Illinois","Summer",NA,NA,NA,NA,41786,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"887","It happened like this. Myself and a friend were out on the edge of the woods. We had decided that we would build a blind for hunting squirrels. On the way in we spotted a dead tree. We both tried to push it over, even worked together, but couldn't so we went back to work. Awhile later we heard the tree start to crack then it was smashed to the ground. We didn't get a good look at it but what we saw I would estimate between 7 - 8 ft tall. There other things that have happened back there as well. I have been howled at and had rocks thrown at me.","If you would like info on location give me a call.","Madison County","Illinois","Summer","Report 10535: Two teens have daylight sighting near Alton.",38.92241,-90.16171,"7/8/2004",10535,"Class A","9yzvkmd5rz",85.6,76.3,67.1,70.9,84.2,61.6,0.71,0,0,NA,1012.1,"Partly cloudy throughout the day.","Partially cloudy",NA,9.7,127.4,14.4,113
"888","Object was standing near a bush. Coloration was a gray or white. Thought it was odd for some person to be standing out in the country at that time of night. Object was about 7 foot tall.","Near Edwardsville","Madison County","Illinois","Summer","Report 14872: Nighttime sighting and possible footprints found by homeowner near Edwardsville",38.4763,-89.54485,"6/8/2006",14872,"Class A","dnb6fk7kty",88,77,64.7,59,57.5,24.4,0.4,0,0,NA,1015.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9,328.8,9.4,37
"889","Watched something in my backyard. Subject was sitting down at first, was making a strange sound like a weedeater. Watched it leave the area.",NA,"Madison County","Illinois","Summer",NA,NA,NA,NA,36571,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"890","I don't like talking about these things because, # 1 I don't believe in it and # 2 I do now. On Wednesday, April 8th, 2009 my cousins cows got out, which was located in Godfrey, Il. which is in Madison County. So I was walking in the woods up the road from their house about deep in to three acres of land and I cross this large valley and went up the hill and half way up I got winded. So I stop to catch my breath and as I rested against the tree I looked to the west from where I was standing to see if I could see any cows moving, which I did not. so I looked to the east and I saw a large man looking thing moving to the north in which as he walked tree limbs were breaking. Believe me I would be willing to take a lie detector test on this. This is the most shaking thing I ever seen. This thing had long black hair and very shaggy.  Thank you for your time.",NA,"Madison County","Illinois","Spring","Report 25809: Resident has recent daylight sighting while retrieving cattle near Godfrey",38.9951,-90.1451,"4/8/2009",25809,"Class A","9yzvudy6fv",61.3,47,32.2,27.9,51,9.9,0.47,0,0,NA,1009.3,"Clear conditions throughout the day.","Clear",NA,9.7,299.5,20.1,182
"891","I was going North on Illinois Route 4, and while passing through a wooded area on my left, I spotted a large, bulky upright figure. Because I was driving, I was only able to get a second or two view of whatever the figure may have been. It was an orange color, which is why it stood out to me in the first place.","A few miles south of the intersection of Interstate 55 and Illinois Route 4. Heavily forested area.","Madison County","Illinois","Winter","Report 27042: Possible daylight sighting by motorist on Illinois Route 4 outside Hamel.",38.90123,-89.80123,"12/18/2009",27042,"Class B","dnbjk9b8pd",44.4,37.2,32.8,27.3,68.3,86,0.07,0.008,100,"['rain', 'snow']",1012.8,"Partly cloudy throughout the day with late afternoon rain or snow.","Snow, Rain, Partially cloudy",NA,9,328,9.8,64
"892","I have had several recent things occur on my property and 1 possible sighting earlier this year. I would love to talk to someone about this. Everyone I say something to in regards to this thinks I'm crazy. lol...several members of my family have heard howls also. Thank you for your time. Our property is very squatchy, hills, creek, heavy woods, and lots of deer to eat.",NA,"Madison County","Illinois","Winter",NA,NA,NA,NA,41487,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
"893","I was driving along Scott-Troy Road after work one night. It was around 8:15 pm when I was driving through some wooded parts of Scott-Troy. I saw something large, black and hairy take two-three giant bounds across the road before it disappeared on the other side. I slowed for a bit, trying to see what it was, but it was too dark to see what it was or where had it gone.","The road winds and has small hills. Passes through a lot of hilly areas. If you're on I-64 heading west, get off at 19 B exit and keep heading straight.","Madison County","Illinois","Fall","Report 56168: Possible nighttime sighting along Scott-Troy Road south of Troy",38.66736,-89.87602,"1/20/2017",56168,"Class B","dnb5fz4m8y",55.5,50.9,45.9,49.9,96.5,74.9,0.77,0.078,100,"['rain']",1002.9,"Partly cloudy throughout the day with early morning rain.","Rain, Partially cloudy",NA,8.4,139.6,7,72
"894","My friend and I were driving home in the evening. As we came around the corner we observed a large upright animal standing in the middle of the road.  It took several steps and went into the woods. It was grayish-black in color and stood about 7 feet tall. I couldn't see the face very well because it was covered with hair. My friend said she didn't believe in such a thing as bigfoot but I told her ""well, it was standing right in front of us.""","Crossed over Sequoia drive heading East","Madison County","Illinois","Summer","Report 58089: Motorist observes possible nighttime road crossing near Troy",38.74625,-89.8774,"8/19/2017",58089,"Class B","dnbh6v932b",90,78.8,67.5,68.2,72.3,10.3,0.93,0,0,NA,1013.5,"Clear conditions throughout the day.","Clear",NA,9.8,259.1,6.3,87
"895","too long to describe if you would contact me feel free to do so there was three people that saw the entire thing there is more than three sightings on this property","fruit farm on a pond","Massac County","Illinois","Summer",NA,NA,NA,NA,37972,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"896","I was sitting at a picnic table eating pizza. I notice four kids running back and forth on a trail. Once they were gone I witnessed what I would call a juvenile sasquatch sneaking down the same trail at approx. 80 yds. The squatch was 3 and a half to 4 tall. It had long brown reddish hair. However it was stocky and I could see dark tanish colored skin threw its hair. Shortly after the kids returned on the trail. The squatch then returned behind them squatted down in the brush and disappeared. I was in total amazement at what I had just seen.","I took a picture of where this happened at camp site # 54.","McDonough County","Illinois","Summer","Report 36406: Daylight sighting by a camper in Argyle Lake State Park",40.45273,-90.79664,"8/9/2012",36406,"Class A","9zpqju5yhz",85,74.8,66.9,66.1,76.6,42.2,0.75,0.014,100,"['rain']",1011.6,"Partly cloudy throughout the day with late afternoon rain.","Rain, Partially cloudy",NA,9.4,334.4,14.5,105
"897","I was driving home from Macomb Illinois and looked out in the field (mostly checking to make sure there were no deer) when I saw  some type of animal, I have never seen before. It was on all fours, long haired, bigger than a dog but smaller than a buck -deer. It was long haired, light colored, and just standing in the field. It took me a minute to comprehend it. Didn't really look like the right terrain but I looked at info and saw one had been sighted close by in 2012.","Two miles west of Illinois Rt 67 on N 1850th Rd.","McDonough County","Illinois","Winter","Report 40714: Motorist has possible nighttime sighting near Blandinsville",40.55179,-90.7771,"3/23/2013",40714,"Class B","9zpqwq4pk3",47.7,38.4,31.3,24.5,59.3,56.5,0.38,0,0,NA,1017.3,"Clearing in the afternoon.","Partially cloudy",NA,9.4,45.4,17.5,93
"898","I found tracks in the mud last week a few days after my sister said she had one behind her house. So I went out last Monday and tracked it for about a half mile until I lost the trail. She said there is a smell that she smells before she sees. It smells like a skunk mixed with cow crap. I was there for three nights trying to find it and I couldn't find it. The day after I left to go back home it came back and she tried to get a picture of it before it ran off in to the woods.","Backyard backs up to woods. On the other side of woods is Lake Lou Yaeger.","Montgomery County","Illinois","Fall",NA,NA,NA,NA,38337,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
"899","It was winter in 1986-87 in Central Illinois, Morgan county, just 3 miles east of Jacksonville off the old state road. Myself and another friend were riding a 3 wheeler in the snow thru a pasture area along a creek and wooded area about 11-1130 PM. We were taking turns riding it and while 1 was riding the other would wait for the rider to come back. 1 of the times while I was riding aprox 200 yds off the road, I spotted a bigfoot aprox 7 ft tall and probably 400lbs. It was walking across the narrow part of the pasture aprox 30yds wide from one stand of woods to another, This part of Illinois is all farmland with a lot of creeks and rivers but not an extreme amount of woodland, my only thoughts were that what the heck had I just seen...","3 miles east of Jacksonville on the Old state road to Mobil Road and north aprox 1/2 mile","Morgan County","Illinois","Winter","Report 41907: Memory told of a possible sighting at night in a pasture east of Jacksonville",39.74652,-90.17844,"1/11/1986",41907,"Class B","9zpf5gwh60",55.1,36.2,19.1,25.2,68.4,17.1,0.04,0,0,NA,1019.8,"Clear conditions throughout the day.","Clear",NA,9.6,215.3,20.8,145
"900","It was a year ago, during deer hunting seaseon (2000)   It was at dusk. When i was going around the outside of the timber I had to go around a point. When I started to go down the other side there it was shaking a tree. It did that for a little bit I stopped to look at it, said some thing to it, then I whent  75 yards further to some open field, saw some deer,  shot at the deer.  I heard it take off running through the timber. It looked about 8 feet tall, black, hairy. I could not see much of anything else. the time that I stopped and looked at it, it acted like a curious child like it used the tree to play peekaboo. That's what it seemed like. I have not seen it yet this year but the weather has not changed yet. It usually comes around in the fall. I'll keep an eye out for him when I hunt.","Edited","Hancock County","Illinois","Fall","Report 3521: Deer hunter sees large hairy black creature that ""plays peekaboo"" near Webster.",40.4664,-91.0007,"11/15/2000",3521,"Class A","9zpq1nxmcg",48.2,35.5,21.5,23.8,64.3,32,0.64,NA,0,NA,1014.9,"Becoming cloudy in the afternoon.","Partially cloudy",NA,9.8,186.1,14.6,166
"901","My wife and I on several nights have heard a sound just like the recordings. On every occasion our dog growls like she is ready to kill someone. On every occasion it goes on for a few minutes and then stops. On every occasion coyotes start to howl almost as soon as it starts. Whatever it was it seems to not be so frequent, but now that I have heard what you say is a bigfoot on your website I will make sure NOT to investigate it..","Follow Highway 96 threw Hamilton and take a left in front of Keokuk Hamilton Bridge. It is along the river bottoms.","Hancock County","Illinois","Spring","Report 2992: Unusual vocalizations from Mississippi River bottoms between Hamilton and Warsaw.",40.3752,-91.3883,"5/16/2001",2992,"Class B","9zpj8qj4d6",86.6,78.3,71.6,69,74,4.1,0.79,NA,0,NA,1004,"Clear conditions throughout the day.","Clear",NA,9.9,241.7,11.5,87
